PrimaryKey,Age,Disability,MaritalStatus,Race,Gender
1,80,1,1,1,1
2,60,2,1,1,2
3,27,2,5,1,1
4,59,2,1,1,1
5,60,2,3,1,2
6,6,2,5,1,1
7,21,2,5,8,1
8,43,2,3,1,1
9,71,2,2,1,2
10,84,1,5,2,2
11,51,2,1,1,2
12,5,2,5,9,2
13,35,2,5,2,2
14,52,2,5,1,2
15,34,2,5,2,2
16,5,2,5,2,2
17,41,1,5,2,1
18,13,2,5,1,1
19,36,2,1,1,2
20,92,1,2,2,2
21,24,2,5,1,1
22,24,2,1,8,2
23,35,2,1,1,1
24,35,2,1,6,2
25,14,2,5,8,2
26,0,2,5,1,1
27,64,1,2,1,1
28,74,2,1,1,1
29,58,2,1,1,2
30,67,2,1,1,2
31,62,2,5,1,1
32,49,2,5,1,1
33,55,2,3,6,2
34,18,2,5,1,2
35,29,2,5,1,2
36,72,2,1,1,1
37,19,2,5,1,1
38,30,2,5,8,1
39,62,2,1,1,2
40,59,1,1,2,2
41,67,2,1,1,2
42,57,2,1,1,2
43,40,2,5,1,1
44,80,1,2,1,2
45,61,2,1,1,2
46,63,2,5,1,1
47,35,1,1,1,1
48,50,2,1,1,2
49,5,2,5,1,2
50,62,2,5,2,2
51,87,1,1,1,2
52,39,2,1,1,1
53,13,2,5,1,1
54,10,2,5,3,1
55,61,2,1,1,1
56,57,2,1,1,1
57,21,2,5,6,1
58,33,2,1,1,2
59,47,2,1,1,2
60,59,1,4,1,2
61,2,2,5,1,1
62,18,2,3,1,1
63,47,2,1,1,2
64,20,1,5,9,1
65,73,2,1,1,1
66,23,1,5,1,2
67,25,2,1,6,1
68,38,2,1,1,2
69,55,2,1,1,2
70,35,2,1,1,1
71,62,2,2,2,2
72,40,2,3,1,2
73,52,1,3,1,2
74,18,2,5,2,2
75,72,1,1,1,1
76,39,2,1,2,1
77,41,2,3,1,2
78,11,2,5,1,2
79,66,2,1,1,1
80,38,2,5,2,2
81,12,2,5,1,2
82,40,2,5,1,2
83,57,2,1,1,1
84,30,2,1,1,2
85,22,2,5,8,2
86,15,2,5,1,1
87,11,2,5,1,1
88,23,2,5,6,2
89,21,2,5,1,1
90,21,2,5,2,1
91,38,2,2,2,1
92,8,2,5,1,2
93,48,2,1,1,2
94,56,2,1,1,2
95,55,2,1,1,1
96,84,1,1,1,2
97,40,2,3,2,2
98,44,1,1,1,2
99,68,1,2,1,2
100,17,2,5,1,2
101,42,2,1,1,2
102,66,2,1,2,2
103,17,2,5,1,2
104,51,2,1,1,1
105,54,2,3,1,2
106,37,1,3,1,1
107,15,2,5,1,2
108,42,2,5,1,1
109,15,2,5,1,2
110,54,2,5,1,1
111,72,2,5,1,1
112,4,2,5,1,1
113,51,2,3,1,1
114,42,2,1,1,2
115,32,2,1,1,1
116,55,2,3,1,1
117,62,2,1,1,1
118,21,2,5,1,2
119,26,2,1,9,2
120,15,1,5,1,1
121,64,1,1,6,2
122,58,2,1,1,2
123,17,2,5,1,1
124,40,2,1,7,2
125,34,2,1,1,1
126,11,2,5,1,2
127,54,2,1,1,2
128,31,2,1,8,2
129,64,1,1,1,2
130,47,2,3,1,2
131,15,2,5,2,1
132,20,2,5,2,1
133,28,2,5,2,1
134,46,2,1,1,1
135,79,1,2,1,2
136,34,2,5,1,1
137,35,2,5,8,1
138,31,2,1,1,2
139,83,1,2,1,1
140,35,2,1,1,2
141,13,2,5,1,1
142,71,1,5,1,1
143,62,2,1,6,2
144,22,2,5,1,2
145,2,2,5,1,2
146,46,2,1,2,1
147,58,2,1,1,2
148,36,2,1,1,1
149,40,2,1,1,1
150,12,2,5,1,1
151,55,1,1,1,2
152,0,2,5,1,2
153,5,2,5,1,2
154,39,2,3,3,2
155,40,2,1,1,2
156,68,2,1,1,2
157,58,1,5,1,2
158,7,2,5,1,2
159,35,2,1,1,2
