Age,Disability,MaritalStatus,Race,Gender
80,1,1,1,1
60,2,1,1,2
27,2,5,1,1
59,2,1,1,1
60,2,3,1,2
6,2,5,1,1
21,2,5,8,1
43,2,3,1,1
71,2,2,1,2
84,1,5,2,2
51,2,1,1,2
5,2,5,9,2
35,2,5,2,2
52,2,5,1,2
34,2,5,2,2
5,2,5,2,2
41,1,5,2,1
13,2,5,1,1
36,2,1,1,2
92,1,2,2,2
24,2,5,1,1
24,2,1,8,2
35,2,1,1,1
35,2,1,6,2
14,2,5,8,2
0,2,5,1,1
64,1,2,1,1
74,2,1,1,1
58,2,1,1,2
67,2,1,1,2
62,2,5,1,1
49,2,5,1,1
55,2,3,6,2
18,2,5,1,2
29,2,5,1,2
72,2,1,1,1
19,2,5,1,1
30,2,5,8,1
62,2,1,1,2
59,1,1,2,2
67,2,1,1,2
57,2,1,1,2
40,2,5,1,1
80,1,2,1,2
61,2,1,1,2
63,2,5,1,1
35,1,1,1,1
50,2,1,1,2
5,2,5,1,2
62,2,5,2,2
87,1,1,1,2
39,2,1,1,1
13,2,5,1,1
10,2,5,3,1
61,2,1,1,1
57,2,1,1,1
21,2,5,6,1
33,2,1,1,2
47,2,1,1,2
59,1,4,1,2
2,2,5,1,1
18,2,3,1,1
47,2,1,1,2
20,1,5,9,1
73,2,1,1,1
23,1,5,1,2
25,2,1,6,1
38,2,1,1,2
55,2,1,1,2
35,2,1,1,1
62,2,2,2,2
40,2,3,1,2
52,1,3,1,2
18,2,5,2,2
72,1,1,1,1
39,2,1,2,1
41,2,3,1,2
11,2,5,1,2
66,2,1,1,1
38,2,5,2,2
12,2,5,1,2
40,2,5,1,2
57,2,1,1,1
30,2,1,1,2
22,2,5,8,2
15,2,5,1,1
11,2,5,1,1
23,2,5,6,2
21,2,5,1,1
21,2,5,2,1
38,2,2,2,1
8,2,5,1,2
48,2,1,1,2
56,2,1,1,2
55,2,1,1,1
84,1,1,1,2
40,2,3,2,2
44,1,1,1,2
68,1,2,1,2
17,2,5,1,2
42,2,1,1,2
66,2,1,2,2
17,2,5,1,2
51,2,1,1,1
54,2,3,1,2
37,1,3,1,1
15,2,5,1,2
42,2,5,1,1
15,2,5,1,2
54,2,5,1,1
72,2,5,1,1
4,2,5,1,1
51,2,3,1,1
42,2,1,1,2
32,2,1,1,1
55,2,3,1,1
62,2,1,1,1
21,2,5,1,2
26,2,1,9,2
15,1,5,1,1
64,1,1,6,2
58,2,1,1,2
17,2,5,1,1
40,2,1,7,2
34,2,1,1,1
11,2,5,1,2
54,2,1,1,2
31,2,1,8,2
64,1,1,1,2
47,2,3,1,2
15,2,5,2,1
20,2,5,2,1
28,2,5,2,1
46,2,1,1,1
79,1,2,1,2
34,2,5,1,1
35,2,5,8,1
31,2,1,1,2
83,1,2,1,1
35,2,1,1,2
13,2,5,1,1
71,1,5,1,1
62,2,1,6,2
22,2,5,1,2
2,2,5,1,2
46,2,1,2,1
58,2,1,1,2
36,2,1,1,1
40,2,1,1,1
12,2,5,1,1
55,1,1,1,2
0,2,5,1,2
5,2,5,1,2
39,2,3,3,2
40,2,1,1,2
68,2,1,1,2
58,1,5,1,2
7,2,5,1,2
35,2,1,1,2
68,2,1,1,2
50,1,5,1,2
49,2,1,1,1
51,1,1,1,2
46,2,3,1,2
36,2,1,2,1
30,2,1,1,2
50,1,1,1,2
26,2,5,2,1
8,2,5,2,1
54,1,4,2,2
48,2,1,1,1
3,2,5,6,1
50,1,1,1,1
76,2,1,1,1
37,2,1,1,2
35,2,1,9,1
32,2,1,1,2
71,2,5,2,1
55,2,1,1,1
1,2,5,8,1
8,2,5,1,2
20,1,5,8,1
56,2,1,1,1
66,2,1,1,1
58,2,1,1,2
65,2,1,1,1
63,1,1,6,1
47,2,4,1,1
22,2,5,1,2
29,2,5,1,2
18,2,5,6,2
16,2,5,1,1
55,2,1,1,2
5,2,5,1,1
63,1,1,1,1
13,2,5,1,1
51,2,1,1,1
12,2,5,1,2
16,2,5,1,1
55,2,3,1,1
74,2,2,1,2
45,2,5,1,1
31,2,5,1,2
50,2,1,1,2
83,1,1,2,1
39,2,1,1,1
80,1,2,1,2
87,1,2,1,2
12,2,5,1,1
60,2,1,1,2
29,2,5,2,2
51,2,1,6,2
39,2,1,1,2
21,2,1,1,2
6,2,5,1,2
1,2,5,1,1
85,1,1,1,2
11,2,5,1,2
69,1,1,1,2
46,1,1,1,1
