,RespondentKey,AgeRecode,IncomeRecode,HispanicRecode,RaceRecoder1,StudyTicketId,Gender,nweight
0,G6DK471010261GRS8LPV,5.0,2.0,2.0,1.0,536399,2.0,1.325344104
1,T1YQ471016399DDZKQVB,6.0,1.0,2.0,1.0,536442,1.0,0.705733354
2,9TZK471013722OJKN0RD,4.0,4.0,2.0,1.0,536448,2.0,1.4197865230000002
3,L3QW471018663VUK1S7Q,5.0,5.0,2.0,1.0,536466,1.0,1.033173458
4,PSN9471028077SPRPPGU,3.0,1.0,2.0,1.0,536571,2.0,0.962151455
5,FGZW471040564WEEVY6D,3.0,4.0,2.0,1.0,536657,2.0,1.404911077
6,151W471033458HQUIU5O,4.0,3.0,2.0,1.0,536607,2.0,1.090111859
7,N4U5471040258ICTTORP,6.0,3.0,2.0,1.0,536659,2.0,0.7885935359999999
8,CFCM471066149DINWLRA,3.0,3.0,2.0,0.0,536858,1.0,1.135965298
9,RIX2471090283TF9JKAW,2.0,3.0,2.0,1.0,537055,1.0,0.762222519
10,JSPP471093256CTYUG6C,1.0,1.0,1.0,1.0,537073,2.0,0.736460008
11,OZ3A471092406NFZTGRU,1.0,3.0,2.0,0.0,537112,2.0,1.016366727
12,GAAW471096605IWE1AGR,2.0,5.0,2.0,0.0,537142,2.0,0.754707665
13,86QF471144014SWXCBHJ,2.0,1.0,2.0,0.0,537389,2.0,0.711237907
14,932Y471149743TGMPKM4,1.0,2.0,2.0,1.0,537435,2.0,1.179586445
15,ODMU471160102KMPWLL2,3.0,4.0,2.0,1.0,537489,1.0,1.409579835
16,2EV6471160352UNLV621,2.0,3.0,2.0,1.0,537495,1.0,0.762222519
17,WN93471197558UFYXY5V,3.0,1.0,2.0,1.0,537699,2.0,0.962151455
18,18YZ471224112AFV7O5C,4.0,5.0,2.0,1.0,537877,2.0,1.031766729
19,JW9J471227279YDIG8AP,3.0,3.0,2.0,1.0,537904,1.0,1.082275165
20,FQ0E471230799JL5ZEA2,6.0,1.0,2.0,1.0,537916,2.0,0.7033958509999999
21,9Q81471239300YIZAFGY,6.0,5.0,2.0,0.0,537954,2.0,0.783413479
22,GTH3471241993ZUYNLG2,2.0,3.0,2.0,1.0,537974,2.0,0.7596979140000001
23,JFHC471264794QSYOODX,1.0,5.0,2.0,1.0,538059,2.0,0.916502223
24,WFQS471284989QR1Q5UX,5.0,2.0,2.0,1.0,538147,1.0,1.329748446
25,ZU48471289493DGQQNQ4,5.0,3.0,2.0,1.0,538175,1.0,1.091598136
26,5POI471301177J16QPSY,4.0,1.0,2.0,1.0,538257,2.0,0.972338883
27,CIQA471305407NED5QBF,4.0,4.0,2.0,1.0,538288,2.0,1.4197865230000002
28,XU6Y471332252C8RZ5JY,6.0,2.0,2.0,1.0,538469,2.0,0.960638347
29,XWAH471338929THOMI3M,1.0,4.0,2.0,1.0,538506,1.0,1.265365222
30,EVRF471341627LOYC5FN,4.0,4.0,2.0,1.0,538526,1.0,1.424504713
31,B8Y9471344263S01J0OD,6.0,1.0,2.0,1.0,538540,1.0,0.705733354
32,G59C471347989HGOX569,3.0,3.0,2.0,0.0,538567,2.0,1.1322027959999998
33,CCGJ471340468NQH0ZUG,4.0,6.0,2.0,1.0,538599,2.0,1.308309947
34,PW55471355054HQ44GNT,4.0,2.0,2.0,1.0,538616,2.0,1.327937912
35,X6Z2471357001XH6NBHF,4.0,3.0,2.0,1.0,538628,1.0,1.093734485
36,HH10471363210BGA999V,4.0,5.0,2.0,1.0,538663,2.0,1.031766729
37,AJDA471365384I4SFFFZ,5.0,6.0,2.0,1.0,538674,2.0,1.305754477
38,8J8C471378871JHV5C53,3.0,6.0,2.0,1.0,538745,2.0,1.294602469
39,J1KI471383184BCBWTR7,5.0,3.0,2.0,1.0,538795,2.0,1.087982586
40,PJR4471382443PX23GLC,5.0,6.0,2.0,1.0,538782,1.0,1.31009372
41,PZSU471388669JS6IVE5,4.0,1.0,2.0,1.0,538832,2.0,0.972338883
42,QD8H471399094Z72OX5M,2.0,5.0,2.0,0.0,538888,2.0,0.754707665
43,C6HX471391678JK3CKUE,6.0,2.0,2.0,1.0,538879,1.0,0.963830711
44,PJD2471309197NHJ7T9K,4.0,5.0,2.0,1.0,538980,2.0,1.031766729
45,CETG471433028G0JT6SL,5.0,2.0,2.0,1.0,539136,1.0,1.329748446
46,0FTF471442957N3Q6LET,4.0,5.0,2.0,1.0,539144,2.0,1.031766729
47,CQ40471454298VYSWXZ6,5.0,3.0,2.0,1.0,539207,2.0,1.087982586
48,9CO9471456165UQBVGQ0,6.0,4.0,2.0,1.0,539212,2.0,1.027082189
49,GAWG471465679MHGKCEO,5.0,6.0,2.0,1.0,539254,2.0,1.305754477
50,R96K471470626LFNB8HR,5.0,3.0,2.0,1.0,539274,2.0,1.087982586
51,XJPW471497127LA87UUD,3.0,3.0,2.0,1.0,539440,2.0,1.0786904940000002
52,Y0T6471511669KZ3WEJ8,1.0,2.0,2.0,1.0,539506,2.0,1.179586445
53,CD4Y471559198T8GVS3D,5.0,3.0,2.0,1.0,539747,2.0,1.087982586
54,QHZP471567984Z1IEEY0,4.0,1.0,2.0,0.0,539803,1.0,1.023966778
55,R5YU471564904CE80YKZ,3.0,2.0,2.0,1.0,539784,2.0,1.314024787
56,Q2EE471597437V2FWME2,4.0,3.0,2.0,1.0,540013,2.0,1.090111859
57,G8HT471594849QZN75ZP,5.0,3.0,2.0,1.0,539988,2.0,1.087982586
58,GZB2471608116LT55WVR,3.0,1.0,2.0,0.0,540079,1.0,1.013238431
59,CJ8U471613934KD1UGTA,5.0,2.0,2.0,1.0,540116,1.0,1.329748446
60,H8GL471608452P205T3R,5.0,5.0,2.0,1.0,540081,2.0,1.02975142
61,PXKH471613878RH0PUTZ,6.0,2.0,2.0,0.0,540124,2.0,1.00829425
62,1ZT3471608534V7WKBWR,4.0,3.0,2.0,1.0,540086,2.0,1.090111859
63,9RWL471631650NTDHY6Y,5.0,2.0,2.0,1.0,540261,2.0,1.325344104
64,VSJV471637901IXFRW4I,3.0,2.0,2.0,1.0,540318,2.0,1.314024787
65,ZJYU471640117TIWPNBT,4.0,1.0,2.0,0.0,540336,2.0,1.020575233
66,PCF9471655297PII7WWB,2.0,2.0,1.0,1.0,540436,1.0,0.791713395
67,FI65471659886IER0IGP,5.0,2.0,2.0,1.0,540462,2.0,1.325344104
68,UQ0T471634917GX7J50M,2.0,4.0,2.0,1.0,540440,2.0,0.989447873
69,O2PT471668407QLD6MT1,2.0,5.0,2.0,1.0,540513,1.0,0.7214267320000001
70,80GL471668929LQ90XU5,3.0,4.0,2.0,1.0,540517,1.0,1.409579835
71,GP6H471682036H4XOHB3,6.0,3.0,2.0,1.0,540607,2.0,0.7885935359999999
72,VDY0471674199L98KTKL,5.0,2.0,2.0,1.0,540560,1.0,1.329748446
73,0AB5471683602YZ5TURE,6.0,3.0,2.0,1.0,540625,2.0,0.7885935359999999
74,K8DU471694770O9HS87V,2.0,3.0,1.0,1.0,540682,2.0,0.647769426
75,UBTI471696199AA8A0A5,3.0,5.0,1.0,0.0,540694,2.0,0.913722228
76,2DKG471694774G6OC9MU,6.0,1.0,2.0,1.0,540686,2.0,0.7033958509999999
77,EMUJ471717749EBZ6Y1P,2.0,3.0,2.0,0.0,540850,2.0,0.797385448
78,NDL5471665534MONN4NE,3.0,3.0,2.0,1.0,540879,2.0,1.0786904940000002
79,DVCY471742717FJNVMBE,4.0,2.0,2.0,0.0,541034,2.0,1.393815025
80,PLWH471745809ZC6H1MJ,4.0,1.0,2.0,1.0,541049,2.0,0.972338883
81,HVUI471429260ON1VR9X,5.0,6.0,2.0,1.0,541192,2.0,1.305754477
82,SYV2471474505BYXWM04,6.0,5.0,2.0,1.0,541361,1.0,0.7488666829999999
83,P5A3471803999Q7SZSUA,5.0,3.0,2.0,1.0,541389,2.0,1.087982586
84,DZ45471814877IA8GW26,5.0,1.0,2.0,1.0,541454,1.0,0.973664588
85,2NNI471814688TO3Q16W,3.0,4.0,1.0,1.0,541447,1.0,1.201902365
86,6UUC471843229OHT4ZN7,4.0,4.0,2.0,1.0,541573,2.0,1.4197865230000002
87,JKZK471847933ZFJY7Q1,2.0,3.0,2.0,1.0,541624,2.0,0.7596979140000001
88,ZINI471851474SB5TEY4,4.0,3.0,2.0,1.0,541634,2.0,1.090111859
